question_text,question_tokens,predicted_parametric_answers,answer,Unnamed: 0
a collection of fluid in the tissues is called,"['a', 'collection', 'of', 'fluid', 'in', 'the', 'tissues', 'is', 'called']",water retention," water retention ( also known as fluid retention ) or hydrops , hydropsy , edema",5059
a country that begins with the letter d,"['a', 'country', 'that', 'begins', 'with', 'the', 'letter', 'd']",denmark, Denmark,4262
a day in the life of marlon bundo audiobook cast,"['a', 'day', 'in', 'the', 'life', 'of', 'marlon', 'bundo', 'audiobook', 'cast']",, Jim Parsons,2357
a means for two processes to exchange information is with the use of,"['a', 'means', 'for', 'two', 'processes', 'to', 'exchange', 'information', 'is', 'with', 'the', 'use', 'of']",inter process communication or interprocess communication ipc, inter-process communication or interprocess communication ( IPC ),5979
a monomer of nucleic acids is called what,"['a', 'monomer', 'of', 'nucleic', 'acids', 'is', 'called', 'what']",nucleotides, nucleotides,308
a person who drive ship is called what,"['a', 'person', 'who', 'drive', 'ship', 'is', 'called', 'what']",helmsman, helmsman,6036
a resolution that is passed by both houses of congress,"['a', 'resolution', 'that', 'is', 'passed', 'by', 'both', 'houses', 'of', 'congress']",joint resolution, joint resolution,5464
aaj jane ki jid na karo movie name,"['aaj', 'jane', 'ki', 'jid', 'na', 'karo', 'movie', 'name']",please do n t insist on leaving today, please do n't insist on leaving today,5940
according to the bretton woods agreement the task of imf would be to,"['according', 'to', 'the', 'bretton', 'woods', 'agreement', 'the', 'task', 'of', 'imf', 'would', 'be', 'to']",monetary management, bridge temporary imbalances of payments,127
according to the chart the main body of the united nations is the,"['according', 'to', 'the', 'chart', 'the', 'main', 'body', 'of', 'the', 'united', 'nations', 'is', 'the']",general assembly, General Assembly,3349
according to the nursery rhyme in what was little poll parrot sat whilst eating toast and tea,"['according', 'to', 'the', 'nursery', 'rhyme', 'in', 'what', 'was', 'little', 'poll', 'parrot', 'sat', 'whilst', 'eating', 'toast', 'and', 'tea']",garret, his garret,3133
actor who played rudy in the book thief,"['actor', 'who', 'played', 'rudy', 'in', 'the', 'book', 'thief']",nico louis liersch, Nico Louis Liersch,1395
actor who played the judge in my cousin vinny,"['actor', 'who', 'played', 'the', 'judge', 'in', 'my', 'cousin', 'vinny']",fred gwynne, Fred Gwynne,4529
actor who plays chaka in land of the lost,"['actor', 'who', 'plays', 'chaka', 'in', 'land', 'of', 'the', 'lost']",jorma taccone, Jorma Taccone,4070
actor who plays joffrey in game of thrones,"['actor', 'who', 'plays', 'joffrey', 'in', 'game', 'of', 'thrones']",jack gleeson, Jack Gleeson,902
