Unnamed: 0,question_text,question_tokens,answer
0,when is the last episode of season 8 of the walking dead,"['when', 'is', 'the', 'last', 'episode', 'of', 'season', '8', 'of', 'the', 'walking', 'dead']"," March 18 , 2018"
1,in greek mythology who was the goddess of spring growth,"['in', 'greek', 'mythology', 'who', 'was', 'the', 'goddess', 'of', 'spring', 'growth']"," Persephone ( / pərˈsɛfəni / ; Greek : Περσεφόνη ) , also called Kore ( / ˈkɔːriː / ; `` the maiden '' )"
6,what is the name of the most important jewish text,"['what', 'is', 'the', 'name', 'of', 'the', 'most', 'important', 'jewish', 'text']", the Shulchan Aruch
8,what is the name of spain's most famous soccer team,"['what', 'is', 'the', 'name', 'of', 'spain', ""'s"", 'most', 'famous', 'soccer', 'team']", Real Madrid
9,when was the first robot used in surgery,"['when', 'was', 'the', 'first', 'robot', 'used', 'in', 'surgery']", 1983
13,who sings the song i don't care i love it,"['who', 'sings', 'the', 'song', 'i', 'do', 'n', ""'t"", 'care', 'i', 'love', 'it']", Icona Pop and Charli XCX
16,who are uncle owen and aunt beru related to,"['who', 'are', 'uncle', 'owen', 'and', 'aunt', 'beru', 'related', 'to']", Shmi
19,where is zimbabwe located in the world map,"['where', 'is', 'zimbabwe', 'located', 'in', 'the', 'world', 'map']"," in southern Africa , between the Zambezi and Limpopo Rivers , bordered by South Africa , Botswana , Zambia and Mozambique"
20,100 acres is equal to how many hectares,"['100', 'acres', 'is', 'equal', 'to', 'how', 'many', 'hectares']", 1 square hectometre ( hm )
22,where was donovan mitchell picked in the draft,"['where', 'was', 'donovan', 'mitchell', 'picked', 'in', 'the', 'draft']", 13th
26,where did the beatles final live performance take place,"['where', 'did', 'the', 'beatles', 'final', 'live', 'performance', 'take', 'place']", the roof of the headquarters of the band 's multimedia corporation Apple Corps at 3 Savile Row
27,who is the president of costa rica 2017,"['who', 'is', 'the', 'president', 'of', 'costa', 'rica', '2017']", Luis Guillermo Solís Rivera
29,when did power rangers tv show come out,"['when', 'did', 'power', 'rangers', 'tv', 'show', 'come', 'out']"," August 28 , 1993"
31,how many beverly hills cops movies are there,"['how', 'many', 'beverly', 'hills', 'cops', 'movies', 'are', 'there']", three
32,who holds the most women's wimbledon titles,"['who', 'holds', 'the', 'most', 'women', ""'s"", 'wimbledon', 'titles']", Martina Navratilova
34,where does jinx you owe me a coke come from,"['where', 'does', 'jinx', 'you', 'owe', 'me', 'a', 'coke', 'come', 'from']", Jinx is a children 's game with varying rules and penalties that occur when two people unintentionally speak the same word or phrase simultaneously
39,where does the last name hickey come from,"['where', 'does', 'the', 'last', 'name', 'hickey', 'come', 'from']", Irish origin
43,where is the greatest royal rumble taking place,"['where', 'is', 'the', 'greatest', 'royal', 'rumble', 'taking', 'place']"," Jeddah , Saudi Arabia"
44,who sang my name is tallulah in bugsy malone,"['who', 'sang', 'my', 'name', 'is', 'tallulah', 'in', 'bugsy', 'malone']", Louise `` Liberty '' Williams
48,what is andy's sisters name in toy story,"['what', 'is', 'andy', ""'s"", 'sisters', 'name', 'in', 'toy', 'story']", Molly
49,who sings with shaggy on it wasn me,"['who', 'sings', 'with', 'shaggy', 'on', 'it', 'wasn', 'me']", English - Jamaican singer Rikrok
51,what is the largest catholic high school in america,"['what', 'is', 'the', 'largest', 'catholic', 'high', 'school', 'in', 'america']", St. Francis Preparatory School
52,who established the peoples republic of china in 1949,"['who', 'established', 'the', 'peoples', 'republic', 'of', 'china', 'in', '1949']", Mao Zedong
54,who sang take that look off your face,"['who', 'sang', 'take', 'that', 'look', 'off', 'your', 'face']", Marti Webb
55,who plays percy in the lost city of z,"['who', 'plays', 'percy', 'in', 'the', 'lost', 'city', 'of', 'z']", Charlie Hunnam
58,who plays the first lady on house of cards,"['who', 'plays', 'the', 'first', 'lady', 'on', 'house', 'of', 'cards']", Joanna C. Going
65,who owns st andrews golf course in scotland,"['who', 'owns', 'st', 'andrews', 'golf', 'course', 'in', 'scotland']", The St Andrews Links Trust
68,which city and state hosts the annual college world series,"['which', 'city', 'and', 'state', 'hosts', 'the', 'annual', 'college', 'world', 'series']"," Omaha , Nebraska"
69,who is ted talking about in how i met your mother,"['who', 'is', 'ted', 'talking', 'about', 'in', 'how', 'i', 'met', 'your', 'mother']", Tracy McConnell
72,when does grey's anatomy season 14 premiere,"['when', 'does', 'grey', ""'s"", 'anatomy', 'season', '14', 'premiere']"," September 28 , 2017"
73,the partial pressure of carbon dioxide in arterial blood is approximately,"['the', 'partial', 'pressure', 'of', 'carbon', 'dioxide', 'in', 'arterial', 'blood', 'is', 'approximately']", at sea level ( 765 mmHg ) in arterial blood is between 35 mmHg and 45 mmHg
76,what was uncle jesse's original last name on full house,"['what', 'was', 'uncle', 'jesse', ""'s"", 'original', 'last', 'name', 'on', 'full', 'house']", Cochran
78,who pays the judgements on the judge mathis show,"['who', 'pays', 'the', 'judgements', 'on', 'the', 'judge', 'mathis', 'show']", Greg Mathis
79,who made up the elf on the shelf,"['who', 'made', 'up', 'the', 'elf', 'on', 'the', 'shelf']", Chanda Bell
82,who warned concord that the british were coming,"['who', 'warned', 'concord', 'that', 'the', 'british', 'were', 'coming']", Samuel Prescott
83,who lasted the longest on alone season 2,"['who', 'lasted', 'the', 'longest', 'on', 'alone', 'season', '2']", David McIntyre
88,where is the us military base in japan,"['where', 'is', 'the', 'us', 'military', 'base', 'in', 'japan']"," Yokota Air Base , Fussa , Western Tokyo"
89,who determines the size of the supreme court,"['who', 'determines', 'the', 'size', 'of', 'the', 'supreme', 'court']", Congress
90,who is the actor that plays lucifer on tv,"['who', 'is', 'the', 'actor', 'that', 'plays', 'lucifer', 'on', 'tv']", Thomas John Ellis
96,who designed the national coat of arms of south africa,"['who', 'designed', 'the', 'national', 'coat', 'of', 'arms', 'of', 'south', 'africa']", Iaan Bekker
98,when does model code of conduct come into force,"['when', 'does', 'model', 'code', 'of', 'conduct', 'come', 'into', 'force']", immediately on announcement of the election schedule by the commission
111,when did now thats what i call music come out,"['when', 'did', 'now', 'thats', 'what', 'i', 'call', 'music', 'come', 'out']", 28 November 1983
113,where is the 2018 grey cup being played,"['where', 'is', 'the', '2018', 'grey', 'cup', 'being', 'played']"," The Brick Field at Commonwealth Stadium in Edmonton , Alberta"
116,where did the band bastille get their name,"['where', 'did', 'the', 'band', 'bastille', 'get', 'their', 'name']", Bastille Day
